Purchase ID,Player Name,Age,Gender,Item ID,Item Name,Price,Age Group
761,Assim27,45,Male,17,"Lazarus, Terror of the Earth",1.7,40+
248,Isursuir31,44,Male,137,"Aetherius, Boon of the Blessed",3.39,40+
728,Chanosiaya39,44,Male,93,Apocalyptic Battlescythe,1.97,40+
674,Aeral68,43,Male,77,"Piety, Guardian of Riddles",4.0,40+
557,Frichaya88,42,Male,8,"Purgatory, Gem of Regret",3.93,40+
341,Hiasurria41,41,Male,71,Demise,1.61,40+
477,Mindossa76,41,Male,173,Stormfury Longsword,4.93,40+
23,Eyrian71,40,Male,151,Severance,3.4,40+
156,Eyrian71,40,Male,117,"Heartstriker, Legacy of the Light",1.79,40+
480,Salilis27,40,Male,59,"Lightning, Etcher of the King",4.23,40+
1,Lisovynya38,40,Male,143,Frenzied Scimitar,1.56,40+
220,Jiskjask85,40,Male,46,Hopeless Ebon Dualblade,1.33,40+
667,Inasuir29,40,Female,66,Victor Iron Spikes,4.4,40+
195,Minduri31,39,Male,113,Solitude's Reaver,4.07,35-39
745,Chanista95,39,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,35-39
517,Aerithnuphos61,39,Male,128,"Blazeguard, Reach of Eternity",4.91,35-39
516,Aidain51,39,Female,35,Heartless Bone Dualblade,3.45,35-39
252,Tyaelo67,39,Male,92,Final Critic,4.88,35-39
648,Eustyria89,39,Male,150,Deathraze,2.85,35-39
217,Cosadar58,38,Male,25,Hero Cane,4.35,35-39
22,Siarithria38,38,Other / Non-Disclosed,24,Warped Fetish,3.81,35-39
768,Assassasta79,38,Male,92,Final Critic,4.88,35-39
660,Isri34,38,Male,103,Singed Scalpel,4.35,35-39
747,Siarithria38,38,Other / Non-Disclosed,146,Warped Iron Scimitar,3.1,35-39
270,Assassasta79,38,Male,85,Malificent Bag,1.75,35-39
182,Lamil79,38,Male,154,Feral Katana,4.4,35-39
695,Lamil79,38,Male,111,Misery's End,4.89,35-39
563,Isri34,38,Male,142,Righteous Might,2.62,35-39
718,Ilirrasda54,37,Male,20,Netherbane,3.27,35-39
294,Ilirrasda54,37,Male,171,Scalpel,1.79,35-39
521,Phistym51,37,Male,50,Dawn,4.6,35-39
208,Qilanrion65,37,Male,105,Hailstorm Shadowsteel Scythe,3.03,35-39
31,Farusrian86,37,Male,179,"Wolf, Promise of the Moonwalker",4.48,35-39
127,Lisossanya98,37,Male,102,Avenger,3.44,35-39
202,Phistym51,37,Male,82,Nirvana,4.9,35-39
107,Tyaerith73,36,Male,99,"Expiration, Warscythe Of Lost Worlds",1.71,35-39
6,Itheria73,36,Male,169,"Interrogator, Blood Blade of the Queen",2.18,35-39
738,Eusur90,36,Male,121,Massacre,1.6,35-39
659,Lisassasda39,36,Male,140,Striker,2.94,35-39
753,Frichirranya75,36,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,35-39
687,Ealiril69,35,Male,78,"Glimmer, Ender of the Moon",4.4,35-39
498,Firon67,35,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53,35-39
484,Chanosian48,35,Other / Non-Disclosed,39,"Betrayal, Whisper of Grieving Widows",3.94,35-39
14,Saesrideu94,35,Male,165,Bone Crushing Silver Skewer,4.86,35-39
9,Chanosian48,35,Other / Non-Disclosed,136,Ghastly Adamantite Protector,3.58,35-39
512,Sastydeu50,35,Male,169,"Interrogator, Blood Blade of the Queen",2.18,35-39
688,Saistyphos30,35,Male,29,"Chaos, Ender of the End",1.98,35-39
196,Maradaran90,35,Female,9,"Thorn, Conqueror of the Corrupted",2.73,35-39
264,Saesrideu94,35,Male,119,"Stormbringer, Dark Blade of Ending Misery",4.32,35-39
147,Hailaphos89,35,Male,24,Warped Fetish,3.81,35-39
142,Adastirin33,35,Female,175,Woeful Adamantite Claymore,4.48,35-39
372,Saistyphos30,35,Male,64,Fusion Pummel,4.82,35-39
483,Saistyphos30,35,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53,35-39
739,Mindirranya33,35,Male,61,Ragnarok,3.87,35-39
544,Ardcil81,34,Male,3,Phantomlight,2.49,30-34
307,Chamastya76,34,Male,53,Vengeance Cleaver,2.05,30-34
